representative	samesetproteins	clustername	msexperiment_id	qupm	qusm	sumionarea_protein_126	sumionarea_protein_127L	sumionarea_protein_127H	sumionarea_protein_128L	sumionarea_protein_128H	sumionarea_protein_129L	sumionarea_protein_129H	sumionarea_protein_130L	sumionarea_protein_130H	sumionarea_protein_131L
IPI00021453.1	 	PPAP2B	39099	3	5	62234345.185	65956039.787	48178162.694	59473821.707	73683520.048	52368947.724	53501588.974	58623408.377	49152677.743	44922235.544
IPI00017601.1	 	CP	39099	8	16	110341075.973	111447926.143	119551470.185	139572104.306	140499966.126	100489960.395	107652903.212	128922025.932	108357680.036	115913536.478
IPI00028883.1	 	NDUFB8	39099	2	3	38050266.362	42606520.037	35154837.794	46496470.329	49018678.235	33390007.721	32032154.198	37393070.317	35582393.409	37986102.067
IPI00746412.2	 	SFRS2IP	39099	11	11	103775628.094	128436251.551	127937161.415	146618705.071	142198661.063	113268742.207	120311605.743	148024007.687	130821070.984	112813379.851
IPI00032498.1	 	DCTN5	39099	1	1	4122504.165	3606643.766	3313398.316	3634977.293	5046292.013	2987989.49	2938393.748	3548318.088	3504059.94	2843385.139
IPI00549296.4	 	SAP30BP	39099	4	6	68942248.31	74546669.825	70858743.559	92890451.949	85913563.768	67018067.839	67381992.403	76389756.572	86157360.717	68133773.279
IPI00028055.4	 	TMED10	39099	9	25	389608533.406	427192180.423	398404101.129	583504714.968	495713199.26	158372763.02	152598402.45	163538072.38	228491823.673	165594314.169
IPI00008711.3	 	WFS1	39099	1	1	2038044.332	3236570.323	2506264.968	4042057.961	3890545.953	2595017.009	2094199.05	2598201.477	3040887.069	2349368.373
IPI00168438.3	 	LOC100130633	39099	2	3	49594785.48	50082738.58	41418232.182	55752755.873	60940363.736	46525742.774	45622483.936	52717828.375	54403277.228	39409376.23
IPI00100213.2	 	RRM2B	39099	6	7	82634402.343	87369536.238	83233633.59	98507779.695	96358803.576	77558279.102	79011597.678	92514680.177	93787337.151	76400007.01
IPI00293975.4	 	GPX1	39099	5	11	90634070.278	98837422.06	93222620.404	109440146.944	106936118.468	78769390.917	84927741.048	95885531.172	100145322.26	74582130.428
